url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions/blob/master/examples.md,9,3
/yinlinchen/amplify-preview-actions/tree/master/.github/workflows,8,2
/yinlinchen/amplify-preview-actions/tree/master/.github,6,2
/yinlinchen/amplify-preview-actions/blob/master/demo.gif,5,1
/yinlinchen/amplify-preview-actions/blob/master/.github/workflows/close_inactivate_issues.yml,4,2
/yinlinchen/amplify-preview-actions/blob/master/.github/workflows/github-repo-stats.yml,4,2
/yinlinchen/amplify-preview-actions/blob/master/action.yml,4,1
/yinlinchen/amplify-preview-actions/blob/master/Dockerfile,4,1
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,4,1
/yinlinchen/amplify-preview-actions,3,3
