url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions,14,5
/yinlinchen/amplify-preview-actions/blob/master/demo.gif,5,3
/yinlinchen/amplify-preview-actions/pulls,4,2
/yinlinchen/amplify-preview-actions/blob/master/action.yml,4,1
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,4,1
/yinlinchen/amplify-preview-actions/blob/master/examples.md,3,2
/yinlinchen/amplify-preview-actions/blob/master/Dockerfile,3,1
/yinlinchen/amplify-preview-actions/issues,2,1
/yinlinchen/amplify-preview-actions/pull/18,2,1
/yinlinchen/amplify-preview-actions/blob/master/.github/workflows/github-repo-stats.yml,1,1
