url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions,28,10
/yinlinchen/amplify-preview-actions/blob/master/examples.md,8,3
/yinlinchen/amplify-preview-actions/tree/master/.github,8,3
/yinlinchen/amplify-preview-actions/pulls,5,4
/yinlinchen/amplify-preview-actions/blob/master/action.yml,5,3
/yinlinchen/amplify-preview-actions/blob/master/.github/workflows/close_inactivate_issues.yml,5,2
/yinlinchen/amplify-preview-actions/issues,4,3
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,4,2
/yinlinchen/amplify-preview-actions/tree/master/.github/workflows,4,2
/yinlinchen/amplify-preview-actions/issues/13,3,3
