time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-06 00:00:00+00:00,1,1,16.0,2.0
2025-02-07 00:00:00+00:00,1,1,1.0,1.0
2025-02-08 00:00:00+00:00,4,2,,
2025-02-09 00:00:00+00:00,11,4,,
2025-02-10 00:00:00+00:00,10,3,,
2025-02-11 00:00:00+00:00,9,5,,
2025-02-12 00:00:00+00:00,3,3,,
2025-02-13 00:00:00+00:00,7,3,,
2025-02-14 00:00:00+00:00,4,2,2.0,2.0
2025-02-15 00:00:00+00:00,4,3,,
2025-02-16 00:00:00+00:00,4,2,,
2025-02-17 00:00:00+00:00,1,1,6.0,2.0
2025-02-18 00:00:00+00:00,1,1,1.0,1.0
