url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions,7,3
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,6,2
/yinlinchen/amplify-preview-actions/blob/master/action.yml,5,2
/yinlinchen/amplify-preview-actions/blob/master/Dockerfile,4,2
/yinlinchen/amplify-preview-actions/commits/master,4,1
/yinlinchen/amplify-preview-actions/blob/master/.github/workflows/close_inactivate_issues.yml,3,1
/yinlinchen/amplify-preview-actions/tree/master/.github,3,1
/yinlinchen/amplify-preview-actions/tree/master/.github/workflows,3,1
/yinlinchen/amplify-preview-actions/blob/master/demo.gif,2,1
/yinlinchen/amplify-preview-actions/commit/5534e7ffe1dd8aebb8fb5ed4c586a422b508efb7,1,1
