url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions,48,14
/yinlinchen/amplify-preview-actions/issues,15,4
/yinlinchen/amplify-preview-actions/blob/master/examples.md,13,5
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,9,4
/yinlinchen/amplify-preview-actions/actions/runs/4356374877/jobs/7614296987,5,1
/yinlinchen/amplify-preview-actions/blob/master/action.yml,4,4
/yinlinchen/amplify-preview-actions/blob/master/demo.gif,4,4
/yinlinchen/amplify-preview-actions/actions/workflows/github-repo-stats.yml,4,1
/yinlinchen/amplify-preview-actions/issues/13,3,3
/yinlinchen/amplify-preview-actions/pull/4,3,3
