url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions,8,5
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,8,2
/yinlinchen/amplify-preview-actions/blob/master/action.yml,4,2
/yinlinchen/amplify-preview-actions/blob/master/demo.gif,4,2
/yinlinchen/amplify-preview-actions/blob/master/Dockerfile,4,2
/yinlinchen/amplify-preview-actions/pulls,4,1
/yinlinchen/amplify-preview-actions/blob/824ad2d4a38bd6ff86e3345f80c8f9382700bc39/entrypoint.sh,2,1
/yinlinchen/amplify-preview-actions/blob/master/examples.md,2,1
/yinlinchen/amplify-preview-actions/fork,2,1
/yinlinchen/amplify-preview-actions/tree/master/.github,2,1
