time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-11 00:00:00+00:00,1,1,,
2024-02-12 00:00:00+00:00,5,5,1.0,1.0
2024-02-13 00:00:00+00:00,1,1,2.0,1.0
2024-02-14 00:00:00+00:00,1,1,7.0,1.0
2024-02-15 00:00:00+00:00,1,1,,
2024-02-16 00:00:00+00:00,1,1,44.0,1.0
2024-02-17 00:00:00+00:00,1,1,3.0,1.0
2024-02-18 00:00:00+00:00,1,1,,
2024-02-19 00:00:00+00:00,2,2,2.0,2.0
2024-02-20 00:00:00+00:00,1,1,2.0,2.0
2024-02-21 00:00:00+00:00,1,1,,
2024-02-22 00:00:00+00:00,1,1,,
2024-02-23 00:00:00+00:00,1,1,,
