time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-21 00:00:00+00:00,13,3,7.0,1.0
2025-10-22 00:00:00+00:00,11,5,,
2025-10-23 00:00:00+00:00,5,5,,
2025-10-24 00:00:00+00:00,22,6,,
2025-10-25 00:00:00+00:00,6,5,,
2025-10-26 00:00:00+00:00,2,2,,
2025-10-27 00:00:00+00:00,2,2,,
2025-10-28 00:00:00+00:00,8,3,,
2025-10-29 00:00:00+00:00,7,2,,
2025-10-30 00:00:00+00:00,3,2,,
2025-10-31 00:00:00+00:00,1,1,,
2025-11-01 00:00:00+00:00,9,4,,
2025-11-02 00:00:00+00:00,9,3,,
2025-11-03 00:00:00+00:00,11,2,,
