url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions,9,7
/yinlinchen/amplify-preview-actions/blob/master/demo.gif,7,2
/yinlinchen/amplify-preview-actions/pull/18,7,1
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,5,2
/yinlinchen/amplify-preview-actions/blob/master/action.yml,4,2
/yinlinchen/amplify-preview-actions/tree/master/.github,4,1
/yinlinchen/amplify-preview-actions/actions,3,1
/yinlinchen/amplify-preview-actions/tree/master/.github/workflows,3,1
/yinlinchen/amplify-preview-actions/blob/master/Dockerfile,2,1
/yinlinchen/amplify-preview-actions/blob/master/examples.md,2,1
