url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions,43,10
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,19,3
/yinlinchen/amplify-preview-actions/blob/master/action.yml,18,5
/yinlinchen/amplify-preview-actions/pull/16,16,2
/yinlinchen/amplify-preview-actions/blob/master/examples.md,11,4
/yinlinchen/amplify-preview-actions/pulls,8,3
/yinlinchen/amplify-preview-actions/tree/master/.github,7,3
/yinlinchen/amplify-preview-actions/blob/master/Dockerfile,7,2
/yinlinchen/amplify-preview-actions/blob/master/README.md,7,1
/yinlinchen/amplify-preview-actions/issues,6,2
