time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-30 00:00:00+00:00,2.0,2.0,,
2025-12-01 00:00:00+00:00,50.0,14.0,,
2025-12-02 00:00:00+00:00,36.0,8.0,,
2025-12-03 00:00:00+00:00,101.0,24.0,1.0,1.0
2025-12-04 00:00:00+00:00,8.0,4.0,1.0,1.0
2025-12-05 00:00:00+00:00,6.0,6.0,,
2025-12-06 00:00:00+00:00,8.0,4.0,1.0,1.0
2025-12-07 00:00:00+00:00,2.0,2.0,,
2025-12-08 00:00:00+00:00,7.0,3.0,1.0,1.0
2025-12-09 00:00:00+00:00,8.0,6.0,,
2025-12-10 00:00:00+00:00,2.0,2.0,1.0,1.0
2025-12-11 00:00:00+00:00,3.0,3.0,,
2025-12-12 00:00:00+00:00,2.0,2.0,,
2025-12-13 00:00:00+00:00,,,1.0,1.0
