url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions/tree/master/.github/workflows,6,1
/yinlinchen/amplify-preview-actions,4,4
/yinlinchen/amplify-preview-actions/blob/master/.github/workflows/github-repo-stats.yml,4,1
/yinlinchen/amplify-preview-actions/tree/master/.github,4,1
/yinlinchen/amplify-preview-actions/blob/master/demo.gif,3,2
/yinlinchen/amplify-preview-actions/tree/master,2,2
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,2,1
/yinlinchen/amplify-preview-actions/blob/master/.github/workflows/close_inactivate_issues.yml,2,1
/yinlinchen/amplify-preview-actions/tree/master/.github/ISSUE_TEMPLATE,2,1
