url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions,11,7
/yinlinchen/amplify-preview-actions/blob/master/action.yml,8,3
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,5,2
/yinlinchen/amplify-preview-actions/blob/master/Dockerfile,4,2
/yinlinchen/amplify-preview-actions/blob/master/demo.gif,3,3
/yinlinchen/amplify-preview-actions/issues,3,3
/yinlinchen/amplify-preview-actions/blob/master/examples.md,3,2
/yinlinchen/amplify-preview-actions/tree/master,3,2
/yinlinchen/amplify-preview-actions/issues/19,2,2
/yinlinchen/amplify-preview-actions/pulls,2,2
