url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,14,1
/yinlinchen/amplify-preview-actions,12,7
/yinlinchen/amplify-preview-actions/blob/master/examples.md,10,2
/yinlinchen/amplify-preview-actions/commits/master/entrypoint.sh,10,1
/yinlinchen/amplify-preview-actions/issues,7,1
/yinlinchen/amplify-preview-actions/commits/master,6,2
/yinlinchen/amplify-preview-actions/blob/master/README.md,4,2
/yinlinchen/amplify-preview-actions/blob/master/action.yml,4,1
/yinlinchen/amplify-preview-actions/issues/10,3,1
/yinlinchen/amplify-preview-actions/pull/12,3,1
