time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-15 00:00:00+00:00,5,5,1.0,1.0
2025-10-16 00:00:00+00:00,5,4,,
2025-10-17 00:00:00+00:00,15,5,,
2025-10-18 00:00:00+00:00,26,6,,
2025-10-19 00:00:00+00:00,1,1,,
2025-10-20 00:00:00+00:00,1,1,,
2025-10-21 00:00:00+00:00,13,3,7.0,1.0
2025-10-22 00:00:00+00:00,11,5,,
2025-10-23 00:00:00+00:00,5,5,,
2025-10-24 00:00:00+00:00,22,6,,
2025-10-25 00:00:00+00:00,6,5,,
2025-10-26 00:00:00+00:00,2,2,,
2025-10-27 00:00:00+00:00,2,2,,
2025-10-28 00:00:00+00:00,6,1,,
