url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions/blob/master/.github/workflows/github-repo-stats.yml,11,2
/yinlinchen/amplify-preview-actions/blob/master/action.yml,9,3
/yinlinchen/amplify-preview-actions/tree/master/.github,8,2
/yinlinchen/amplify-preview-actions/blob/master/demo.gif,6,3
/yinlinchen/amplify-preview-actions,5,4
/yinlinchen/amplify-preview-actions/blob/github-repo-stats/examples.md,4,1
/yinlinchen/amplify-preview-actions/blob/github-repo-stats/entrypoint.sh,3,1
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,3,1
/yinlinchen/amplify-preview-actions/tree/github-repo-stats/yinlinchen/amplify-preview-actions,3,1
/yinlinchen/amplify-preview-actions/tree/master/.github/workflows,3,1
