url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions,7,6
/yinlinchen/amplify-preview-actions/blob/master/demo.gif,7,2
/yinlinchen/amplify-preview-actions/blob/master/action.yml,4,2
/yinlinchen/amplify-preview-actions/blob/master/Dockerfile,4,2
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,4,2
/yinlinchen/amplify-preview-actions/tree/master/.github,4,1
/yinlinchen/amplify-preview-actions/actions,3,1
/yinlinchen/amplify-preview-actions/tree/master/.github/workflows,3,1
/yinlinchen/amplify-preview-actions/blob/master/.github/workflows/close_inactivate_issues.yml,2,1
/yinlinchen/amplify-preview-actions/blob/master/.github/workflows/github-repo-stats.yml,2,1
