url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions,27,14
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,18,4
/yinlinchen/amplify-preview-actions/blob/master/action.yml,15,3
/yinlinchen/amplify-preview-actions/tree/master/.github,14,3
/yinlinchen/amplify-preview-actions/blob/master/examples.md,8,3
/yinlinchen/amplify-preview-actions/tree/master/.github/workflows,8,1
/yinlinchen/amplify-preview-actions/tree/github-repo-stats/yinlinchen/amplify-preview-actions,5,1
/yinlinchen/amplify-preview-actions/blob/master/Dockerfile,3,1
/yinlinchen/amplify-preview-actions/blob/master/demo.gif,2,1
/yinlinchen/amplify-preview-actions/blob/master/.github/PULL_REQUEST_TEMPLATE.md,2,1
