url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions,7,6
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,4,1
/yinlinchen/amplify-preview-actions/pull/14/commits,3,1
/yinlinchen/amplify-preview-actions/blob/master/examples.md,2,2
/yinlinchen/amplify-preview-actions/blob/master/action.yml,1,1
/yinlinchen/amplify-preview-actions/blob/master/demo.gif,1,1
/yinlinchen/amplify-preview-actions/pull/14,1,1
/yinlinchen/amplify-preview-actions/pull/14/commits/92b615924a800f824c78f4a2fdd0bc447c6a56ab,1,1
/yinlinchen/amplify-preview-actions/pulls,1,1
/yinlinchen/amplify-preview-actions/tree/master,1,1
