url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions/pull/18,14,2
/yinlinchen/amplify-preview-actions,10,8
/yinlinchen/amplify-preview-actions/pulls,10,1
/yinlinchen/amplify-preview-actions/blob/master/demo.gif,9,3
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,5,2
/yinlinchen/amplify-preview-actions/actions,4,2
/yinlinchen/amplify-preview-actions/blob/master/action.yml,4,2
/yinlinchen/amplify-preview-actions/blob/master/examples.md,4,2
/yinlinchen/amplify-preview-actions/pull/12,4,1
/yinlinchen/amplify-preview-actions/pull/14,4,1
