url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions,30,6
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,17,2
/yinlinchen/amplify-preview-actions/pull/16,16,2
/yinlinchen/amplify-preview-actions/blob/master/examples.md,10,4
/yinlinchen/amplify-preview-actions/blob/master/action.yml,9,2
/yinlinchen/amplify-preview-actions/pulls,7,2
/yinlinchen/amplify-preview-actions/pull/16/files,6,2
/yinlinchen/amplify-preview-actions/tree/master/.github,5,2
/yinlinchen/amplify-preview-actions/issues,5,1
/yinlinchen/amplify-preview-actions/tree/master,4,1
