url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,22,3
/yinlinchen/amplify-preview-actions,10,8
/yinlinchen/amplify-preview-actions/tree/master/.github/workflows,10,2
/yinlinchen/amplify-preview-actions/tree/master/.github,8,2
/yinlinchen/amplify-preview-actions/blob/master/action.yml,8,1
/yinlinchen/amplify-preview-actions/blob/master/.github/workflows/github-repo-stats.yml,6,2
/yinlinchen/amplify-preview-actions/blob/master/demo.gif,5,3
/yinlinchen/amplify-preview-actions/blob/master/.github/workflows/close_inactivate_issues.yml,4,2
/yinlinchen/amplify-preview-actions/tree/master,3,2
/yinlinchen/amplify-preview-actions/blob/master/examples.md,3,1
