url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions/tree/github-repo-stats/yinlinchen/amplify-preview-actions,6,1
/yinlinchen/amplify-preview-actions/tree/github-repo-stats/yinlinchen/amplify-preview-actions/latest-report,5,1
/yinlinchen/amplify-preview-actions,4,4
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,4,1
/yinlinchen/amplify-preview-actions/blob/github-repo-stats/yinlinchen/amplify-preview-actions/latest-report/report_for_pdf.html,2,1
/yinlinchen/amplify-preview-actions/blob/github-repo-stats/yinlinchen/amplify-preview-actions/latest-report/report.pdf,2,1
/yinlinchen/amplify-preview-actions/blob/master/action.yml,2,1
/yinlinchen/amplify-preview-actions/blob/master/Dockerfile,2,1
/yinlinchen/amplify-preview-actions/tree/github-repo-stats/yinlinchen/amplify-preview-actions/ghrs-data,2,1
/yinlinchen/amplify-preview-actions/tree/github-repo-stats,1,1
