url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions/tree/master/.github,7,3
/yinlinchen/amplify-preview-actions/tree/master/.github/workflows,4,3
/yinlinchen/amplify-preview-actions,4,2
/yinlinchen/amplify-preview-actions/blob/master/.github/workflows/close_inactivate_issues.yml,3,3
/yinlinchen/amplify-preview-actions/blob/master/.github/workflows/github-repo-stats.yml,3,3
/yinlinchen/amplify-preview-actions/blob/master/action.yml,2,2
/yinlinchen/amplify-preview-actions/blob/master/examples.md,2,2
/yinlinchen/amplify-preview-actions/tree/master,2,2
/yinlinchen/amplify-preview-actions/actions/runs/11585966566,2,1
/yinlinchen/amplify-preview-actions/actions,1,1
