url_path,views_total,views_unique
/yinlinchen/amplify-preview-actions/blob/master/entrypoint.sh,19,3
/yinlinchen/amplify-preview-actions/pull/18,14,2
/yinlinchen/amplify-preview-actions,13,6
/yinlinchen/amplify-preview-actions/pulls,12,1
/yinlinchen/amplify-preview-actions/blob/master/examples.md,10,2
/yinlinchen/amplify-preview-actions/commits/master/entrypoint.sh,10,1
/yinlinchen/amplify-preview-actions/issues,7,1
/yinlinchen/amplify-preview-actions/pull/12,7,1
/yinlinchen/amplify-preview-actions/blob/master/action.yml,6,2
/yinlinchen/amplify-preview-actions/pull/14,5,1
