time_iso8601,stars_cumulative
2020-09-13 00:00:00+00:00,1
2020-09-14 00:00:00+00:00,2
2020-09-15 00:00:00+00:00,4
2020-10-20 00:00:00+00:00,5
2021-04-25 00:00:00+00:00,6
2021-05-22 00:00:00+00:00,7
2021-07-20 00:00:00+00:00,8
2021-12-14 00:00:00+00:00,9
2022-07-07 00:00:00+00:00,10
2022-12-05 00:00:00+00:00,11
2023-03-14 00:00:00+00:00,12
2023-07-27 00:00:00+00:00,13
